id	name	rarity
202096	清水絵空	2
202097	出雲咲姫	2
202098	新島衣舞紀	2
202099	花巻乙和	2
202100	福島ノア	2
202101	ラフィー	2
202102	クリーブランド	2
202103	エンタープライズ	2
202104	ジャベリン	2
202105	イラストリアス	2
202106	ベルファスト	2
202107	Z23	2
202108	アドミラル・ヒッパー	2
202109	プリンツ・オイゲン	2
202110	綾波	2
202111	高雄	2
202112	赤城	2
202113	エリザベス(2nd ANNIVERSARY)	2
202114	リリィ(2nd ANNIVERSARY)	2
202115	EVE	2
202116	eden	2
202117	Silentphobia	2
202118	こんにちは、ARuFaです。	2
202119	さんさーら！	2
302001	じまん	2
302002	あつ	2
302003	しょうげき	2
302004	こんにちは	2
302005	いんふぇるの	2
302006	でれでれ	2
302007	ナメクジ	2
302008	文鳥	2
302009	マグロ	2
302010	馬男爵	2
302011	超MANJIラッシュ	2
302012	Meta-Mysteria	2
302013	Ouvertüre	2
302014	ローズ	2
302015	ファラオ	2
302016	ルーン	2
302017	【裏】ルーン	4
302018	リバース	2
302019	インフィニティ	2
302020	Ouch!	2
302021	光	2
302022	対立	2
302023	サヤ	2
302024	シア	2
302025	DORO*C(Stream)	2
302026	IRRENA(Stream)	2
302027	リン　- ベーシスト -	2
302028	リン　- 不良少女 -	2
302029	リン　- 夢遊少女 -	2
302030	ブロウ　- パイロット -	2
302031	ブロウ　- ジョーカー -	2
302032	ブロウ　- アイドル -	2
302033	マリヤ　- バイオリニスト -	2
302034	マリヤ　- メイド -	2
302035	マリヤ　- 黒衣の女王 -	2
302036	EPHMR	2
302037	DANGEROOOOUS JUNGLE	2
302038	Dimension Hacker	2
302039	クリムゾン帝王	2
302040	エリザベス(SPURT)	4
302041	リリィ(SPURT)	4
302042	ルーン(SPURT)	4
302043	【裏】ルーン(SPURT)	4
302044	Getty	3
302045	肉球	2
302046	WACCA	2
302047	WACCA Lily	2
302048	WACCA Reverse	2
302049	エリザベス(Final)	4
302050	リリィ(Final)	4
302051	ルーン(Final)	4
302052	Möbius	2
302053	DIVE with Ü	2
